unix,date,symbol,open,high,low,close,volume,tradecount
1655600000000,2022-06-19 00:00:00,BTC/USDT,18959.7,19099.5,18850,18964.9,275438915.6,109531
1655510000000,2022-06-18 00:00:00,BTC/USDT,20457.3,20768.4,17593.2,18959.7,24038549203,9583930
1655420000000,2022-06-17 00:00:00,BTC/USDT,20387.4,21388,20228,20457.3,16088733040,6079947
1655340000000,2022-06-16 00:00:00,BTC/USDT,22567.5,23000,20222,20387.4,18813838460,7395505
1655250000000,2022-06-15 00:00:00,BTC/USDT,22122.7,22800,20100.2,22567.5,32006546660,11845837
1655160000000,2022-06-14 00:00:00,BTC/USDT,22471.4,23424.2,20823,22122.7,27599590727,10260084
1655080000000,2022-06-13 00:00:00,BTC/USDT,26564.7,26877,21900,22471.5,39289035377,12474566
1654990000000,2022-06-12 00:00:00,BTC/USDT,28416.6,28530.3,26538.7,26564.7,15462378091,5008490
1654910000000,2022-06-11 00:00:00,BTC/USDT,29077.7,29427.9,28080,28416.7,11234144827,3598306
1654820000000,2022-06-10 00:00:00,BTC/USDT,30093.4,30374.1,28805,29077.7,13179453293,3965215
1654730000000,2022-06-09 00:00:00,BTC/USDT,30192.6,30691.9,29914.5,30093.3,9291136222,2788244
1654650000000,2022-06-08 00:00:00,BTC/USDT,31118,31325,29825,30192.5,13872254799,4067735
1654560000000,2022-06-07 00:00:00,BTC/USDT,31361.2,31599,29190,31118.1,20938600076,5975164
1654470000000,2022-06-06 00:00:00,BTC/USDT,29910,31780,29876.2,31361.2,13627289855,4199213
1654390000000,2022-06-05 00:00:00,BTC/USDT,29848.5,30250,29524,29909.9,6129273443,2136355
1654300000000,2022-06-04 00:00:00,BTC/USDT,29682.8,29988,29456,29848.4,5568229842,2016136
1654210000000,2022-06-03 00:00:00,BTC/USDT,30437.1,30693.2,29220,29682.8,10664927716,3436609
1654130000000,2022-06-02 00:00:00,BTC/USDT,29796.9,30750,29566.1,30437.1,11143387488,3538451
1654040000000,2022-06-01 00:00:00,BTC/USDT,31797.9,31986.1,29300,29796.9,17126731272,4628699
1653960000000,2022-05-31 00:00:00,BTC/USDT,31726.5,32427.5,31222,31797.8,12177347049,3584533
1653870000000,2022-05-30 00:00:00,BTC/USDT,29452.6,32307.6,29301.1,31726.5,15459298501,4335582
1653780000000,2022-05-29 00:00:00,BTC/USDT,29018.8,29595.2,28825,29452.8,6278945106,2143741
1653700000000,2022-05-28 00:00:00,BTC/USDT,28623.3,29265.7,28520,29018.8,5593154078,1892856
1653610000000,2022-05-27 00:00:00,BTC/USDT,29194,29387,28259.6,28623.2,14627232915,4601526
1653520000000,2022-05-26 00:00:00,BTC/USDT,29536.7,29877,27952.1,29194,17570547238,4998028
1653440000000,2022-05-25 00:00:00,BTC/USDT,29643,30246.7,29330,29536.7,12302779678,3644948
1653350000000,2022-05-24 00:00:00,BTC/USDT,29097.8,29887.3,28637.6,29643.1,11175809570,3486602
1653260000000,2022-05-23 00:00:00,BTC/USDT,30284,30658,28840.7,29097.7,14259460843,4234598
1653180000000,2022-05-22 00:00:00,BTC/USDT,29427.4,30500,29223.6,30284,8892178256,2699817
1653090000000,2022-05-21 00:00:00,BTC/USDT,29188.9,29650,28927,29427.4,5951830742,2179630
1653000000000,2022-05-20 00:00:00,BTC/USDT,30319.9,30784.4,28702,29188.9,14409462582,4396626
1652920000000,2022-05-19 00:00:00,BTC/USDT,28700.6,30550,28670.5,30319.9,13313042276,4384132
1652830000000,2022-05-18 00:00:00,BTC/USDT,30437,30700,28629.6,28700.6,12571901286,4172681
1652750000000,2022-05-17 00:00:00,BTC/USDT,29866.4,30794,29420,30437,12050567026,4083135
1652660000000,2022-05-16 00:00:00,BTC/USDT,31324.3,31327.4,29052.3,29866.7,15148324200,5014012
1652570000000,2022-05-15 00:00:00,BTC/USDT,30079.5,31462,29448,31324.4,10189057496,3738894
1652490000000,2022-05-14 00:00:00,BTC/USDT,29274.2,30352.2,28602.3,30079.8,9273623685,3756979
